"","date","artist","track","album"
"24",2020-04-13 02:00:31,"Insomnium","Wail of the North","Heart Like a Grave (Bonus Tracks Version)"
"25",2020-04-13 01:54:49,"1914","Verdun","Eschatology Of War"
"26",2020-04-13 01:49:34,"1914","Verdun","Eschatology Of War"
"27",2020-04-13 00:38:41,"1914","Caught in the crossfire","Eschatology Of War"
"28",2020-04-13 00:33:18,"1914","Verdun","Eschatology Of War"
"29",2020-04-13 00:26:15,"Borknagar","Up North","TRUE NORTH"
"30",2020-04-13 00:22:00,"Deserted Fear","Reflect The Storm","Drowned By Humanity (Bonus Tracks Version)"
"31",2020-04-13 00:12:51,"Harakiri for the Sky","Fire, Walk with Me","Arson"
"32",2020-04-13 00:04:02,"Shylmagoghnar","I Am the Abyss","Emergence"
"33",2020-04-12 23:59:57,"Naglfar","Cerecloth","Cerecloth"
"34",2020-04-12 23:54:35,"Anomalie","Aurora","Aurora"
"35",2020-04-12 23:48:54,"Swallow the Sun","Firelights","When A Shadow Is Forced Into The Light"
"36",2020-04-12 23:44:25,"Cattle Decapitation","Bring Back the Plague","Death Atlas"
"37",2020-04-12 23:39:44,"Bolt Thrower","The Killchain","Those Once Loyal"
"38",2020-04-12 23:32:37,"Shylmagoghnar","As All Must Come to Pass","Transience"
"39",2020-04-12 23:27:12,"1914","Verdun","Eschatology Of War"
"40",2020-04-12 23:22:43,"1914","Verdun","Eschatology Of War"
"41",2020-04-12 23:20:22,"Rivers of Nihil","Heirless","Monarchy"
"42",2020-04-12 23:11:53,"Rivers of Nihil","Capricorn / Agoratopia","Where Owls Know My Name"
"43",2020-04-12 23:05:10,"Rivers of Nihil","Where Owls Know My Name","Where Owls Know My Name"
"44",2020-04-12 22:56:17,"Rivers of Nihil","Death Is Real","Where Owls Know My Name"
"45",2020-04-12 22:50:53,"1914","Verdun","Eschatology Of War"
"46",2020-04-12 22:45:50,"1914","Verdun","Eschatology Of War"
"47",2020-04-12 22:38:49,"Rivers of Nihil","Hollow","Where Owls Know My Name"
"48",2020-04-12 22:34:59,"Rivers of Nihil","Terrestria III: Wither","Where Owls Know My Name"
"49",2020-04-12 22:26:25,"Rivers of Nihil","Subtle Change (Including the Forest of Transition and Dissatisfaction Dance)","Where Owls Know My Name"
"50",2020-04-12 22:21:41,"Rivers of Nihil","Old Nothing","Where Owls Know My Name"
"51",2020-04-12 22:16:22,"Rivers of Nihil","A Home","Where Owls Know My Name"
"52",2020-04-12 22:09:47,"Rivers of Nihil","The Silent Life","Where Owls Know My Name"
"53",2020-04-12 22:08:03,"Rivers of Nihil","Cancer / Moonspeak","Where Owls Know My Name"
"54",2020-04-12 21:57:03,"Rivers of Nihil","The Silent Life",NA
"55",2020-04-12 21:47:51,"Death Angel","The Ultra-Violence","The Ultra-Violence"
"56",2020-04-11 04:24:13,"Death Angel","The Ultra-Violence","The Ultra-Violence"
"57",2020-04-10 21:37:25,"Slipknot","Psychosocial","All Hope Is Gone (10th Anniversary)"
"58",2020-04-10 20:20:41,"Amon Amarth","Twilight of the Thunder God","Twilight of the Thunder God"
"59",2020-04-10 20:00:21,"Enisum","Mountain's Spirit - Original Mix","Arpitanian Lands"
"60",2020-04-10 19:53:40,"Enisum","Alpine Peaks - Original Mix","Arpitanian Lands"
"61",2020-04-10 19:47:25,"Enisum","Chiusella's Waters - Original Mix","Arpitanian Lands"
"62",2020-04-10 19:41:55,"Enisum","Arpitanian Lands - Original Mix","Arpitanian Lands"
"63",2020-04-10 19:28:41,"Ashbringer","Ethereal Aura, Pt. 2","Vacant"
"64",2020-04-10 19:21:21,"Ashbringer","Spiritual Architecture","Absolution"
"65",2020-04-10 19:12:05,"Ashbringer","Spiritual Architecture","Absolution"
"66",2020-04-10 04:15:36,"Sabaton","The Attack of the Dead Men","The Great War"
"67",2020-04-10 03:44:40,"Sabaton","82nd All the Way","The Great War"
"68",2020-04-10 03:41:07,"Sabaton","Devil Dogs","The Great War"
"69",2020-04-10 03:37:50,"Sabaton","The Attack of the Dead Men","The Great War"
"70",2020-04-10 03:33:53,"Sabaton","82nd All the Way","The Great War"
"71",2020-04-10 03:30:16,"Eluveitie","Thousandfold - Live","Live at Masters of Rock 2019"
"72",2020-04-10 03:23:16,"Eluveitie","Epona - Live","Live at Masters of Rock 2019"
"73",2020-04-10 03:14:43,"Ne Obliviscaris","Eyrie","Urn"
"74",2020-04-10 03:02:52,"Ne Obliviscaris","Intra Venus","Urn"
"75",2020-04-10 02:55:23,"Ne Obliviscaris","Libera, Pt. Ii: Ascent of Burning Moths","Urn"
"76",2020-04-10 02:52:48,"Ne Obliviscaris","Libera, Pt. I: Saturnine Spheres","Urn"
"77",2020-04-10 02:41:44,"Unreqvited","A Tear from The Oak","Disquiet"
"78",2020-04-10 02:39:38,"Unreqvited","Death","Disquiet"
"79",2020-04-10 02:30:37,"Unreqvited","Maydena","Disquiet"
"80",2020-04-10 02:23:01,"Unreqvited","An Ocean of Ire","Disquiet"
"81",2020-04-10 02:20:02,"Unreqvited","A Tear from The Oak","Disquiet"
"82",2020-04-10 02:17:02,"Unreqvited","Disquiet","Disquiet"
"83",2020-04-10 02:07:39,"Unreqvited","The Autumn Fire","Disquiet"
"84",2020-04-10 01:59:51,"Unreqvited","Birth","Disquiet"
"85",2020-04-10 01:54:40,"Deafheaven","You Without End","Ordinary Corrupt Human Love"
"86",2020-04-10 01:48:19,"Deafheaven","You Without End","Ordinary Corrupt Human Love"
"87",2020-04-10 01:40:59,"Deafheaven","You Without End","Ordinary Corrupt Human Love"
"88",2020-04-10 01:40:54,"Deafheaven","You Without End","Ordinary Corrupt Human Love"
"89",2020-04-10 01:01:28,"Deafheaven","You Without End","Ordinary Corrupt Human Love"
"90",2020-04-10 01:01:20,"Deafheaven","You Without End","Ordinary Corrupt Human Love"
"91",2020-04-10 01:00:43,"Deafheaven","Dream House","Sunbather"
"92",2020-04-10 00:51:05,"Eluveitie","Epona","Evocation II - Pantheon"
"93",2020-04-10 00:49:18,"Eluveitie","A Rose For Epona","Helvetios"
"94",2020-04-10 00:44:51,"Eluveitie","Ambiramus","Ategnatos"
"95",2020-04-10 00:41:57,"Eluveitie","Inis Mona","Slania"
"96",2020-04-10 00:37:48,"Eluveitie","The Call of the Mountains","Origins"
"97",2020-04-10 00:31:19,"Deafheaven","Irresistible","Sunbather"
"98",2020-04-10 00:27:30,"Deafheaven","You Without End","Ordinary Corrupt Human Love"
"99",2020-04-10 00:19:53,"Deafheaven","Dream House","Sunbather"
"100",2020-04-09 23:03:55,"Deafheaven","Language Games","Roads to Judah"
"101",2020-04-09 22:41:03,"Deafheaven","Violet","Roads to Judah"
"102",2020-04-09 22:20:16,"Alcest","Percées de lumière","Écailles de lune"
"103",2020-04-09 22:08:01,"Deafheaven","Gifts For The Earth","New Bermuda"
"104",2020-04-09 21:59:38,"Deafheaven","Worthless Animal","Ordinary Corrupt Human Love"
"105",2020-04-09 21:48:44,"Deafheaven","Glint","Ordinary Corrupt Human Love"
"106",2020-04-09 21:37:24,"Deafheaven","Near","Ordinary Corrupt Human Love"
"107",2020-04-09 21:31:55,"Deafheaven","Canary Yellow","Ordinary Corrupt Human Love"
"108",2020-04-08 15:37:25,"Mors Subita","As Humanity Weeps","Into the Pitch Black"
"109",2020-04-08 15:30:41,"Borknagar","Up North","TRUE NORTH"
"110",2020-04-08 15:25:42,"Sabaton","Uprising","Coat of Arms"
"111",2020-04-08 15:19:38,"Obscura","Ethereal Skies","Diluvium"
"112",2020-04-08 15:13:29,"Obscura","Mortification of the Vulgar Sun","Diluvium"
"113",2020-04-08 15:08:26,"Obscura","Diluvium","Diluvium"
"114",2020-04-08 15:03:33,"Obscura","Emergent Evolution","Diluvium"
"115",2020-04-08 14:59:57,"Obscura","Clandestine Stars","Diluvium"
"116",2020-04-08 14:52:56,"Sabaton","Angels Calling","Angels Calling"
"117",2020-04-08 14:48:26,"Gojira","Stranded","Magma"
"118",2020-04-08 14:44:33,"Battle Beast","No More Hollywood Endings","No More Hollywood Endings"
"119",2020-04-08 14:39:10,"Rammstein","Deutschland","Rammstein"
"120",2020-04-08 05:51:44,"Sabaton","Uprising","Coat of Arms"
"121",2020-04-08 04:35:05,"Sabaton","Uprising","Coat of Arms"
"122",2020-04-08 04:31:40,"Sabaton","The Nature of Warfare","The Art Of War (Re-Armed)"
"123",2020-04-08 04:25:41,"Sabaton","Unbreakable","The Art Of War (Re-Armed)"
"124",2020-04-08 04:21:29,"Sabaton","40:1","The Art Of War (Re-Armed)"
"125",2020-04-08 04:16:19,"Sabaton","The Art of War","The Art Of War (Re-Armed)"
"126",2020-04-08 04:12:26,"Sabaton","Ghost Division","The Art Of War (Re-Armed)"
"127",2020-04-08 03:55:28,"Insomnium","Karelia 2049 (Bonus track)","Heart Like a Grave (Bonus Tracks Version)"
"128",2020-04-08 02:49:07,"Insomnium","The True Morning Star (Bonus track)","Heart Like a Grave (Bonus Tracks Version)"
"129",2020-04-08 02:41:16,"Insomnium","Karelia","Heart Like a Grave (Bonus Tracks Version)"
"130",2020-04-08 02:37:22,"Ellende","Augenblick","Lebensnehmer"
"131",2020-04-08 02:30:14,"Ellende","Die Wege","Lebensnehmer"
"132",2020-04-08 02:23:31,"Ellende","Der Blick wird leer","Lebensnehmer"
"133",2020-04-08 01:18:32,"Insomnium","Karelia","Heart Like a Grave (Bonus Tracks Version)"
"134",2020-04-08 01:12:53,"Insomnium","Karelia","Heart Like a Grave (Bonus Tracks Version)"
"135",2020-04-08 01:09:04,"A Perfect Circle","Weak and Powerless","Thirteenth Step"
"136",2020-04-08 01:06:02,"Sacrilege","Sorg","the Fifth Season"
"137",2020-04-08 01:00:12,"Amorphis","Amongst Stars","Queen of Time"
"138",2020-04-08 00:55:54,"Amorphis","House of Sleep","Eclipse"
"139",2020-04-08 00:52:14,"Soen","Lotus","Lotus"
"140",2020-04-08 00:52:14,"Soen","Covenant","Lotus"
"141",2020-04-08 00:46:49,"Soen","Lotus","Lotus"
"142",2020-04-08 00:41:48,"Soen","Lotus","Lotus"
"143",2020-04-08 00:35:38,"Soen","Martyrs","Lotus"
"144",2020-04-08 00:30:00,"Soen","Lascivious","Lotus"
"145",2020-04-08 00:24:15,"Soen","Opponent","Lotus"
"146",2020-04-08 00:19:13,"Night Crowned","Your Sacrilegious Flesh","Impius Viam"
"147",2020-04-08 00:13:43,"Night Crowned","Unholy Path","Impius Viam"
"148",2020-04-08 00:08:31,"Viscera","Hammers and Nails","Obsidian"
"149",2020-04-08 00:05:05,"Viscera","Carpe Noctem","Obsidian"
"150",2020-04-08 00:01:13,"Viscera","Lamb to the Slaughter","Obsidian"
"151",2020-04-07 23:56:32,"Viscera","Immersed in Ire","Obsidian"
"152",2020-04-07 23:52:55,"Viscera","Affliction","Obsidian"
"153",2020-04-07 23:48:47,"Viscera","Obsidian","Obsidian"
"154",2020-04-07 23:48:47,"Viscera","DELILAH","Obsidian"
"155",2020-04-07 23:43:54,"Viscera","Obsidian","Obsidian"
"156",2020-04-07 23:35:48,"Dubmood","The Scene Is Dead (MASTER BOOT RECORD Remix)","Votedisk // Scene Is Dead"
"157",2020-04-07 23:32:25,"MASTER BOOT RECORD","VIRDEM","Virus.DOS"
"158",2020-04-07 23:28:39,"MASTER BOOT RECORD","ANSI.SYS","Floppy Disk Overdrive"
"159",2020-04-07 23:23:20,"MASTER BOOT RECORD","CONFIG.SYS","C​:\​​>CHKDSK /F"
"160",2020-04-07 23:16:13,"Children of Bodom","All For Nothing","I Worship Chaos"
"161",2020-04-07 23:12:38,"Children of Bodom","Suicide Bomber","I Worship Chaos"
"162",2020-04-07 23:08:35,"Children of Bodom","Hold Your Tongue","I Worship Chaos"
"163",2020-04-07 23:04:53,"Children of Bodom","I Worship Chaos","I Worship Chaos"
"164",2020-04-07 22:59:56,"Children of Bodom","Prayer For The Afflicted","I Worship Chaos"
"165",2020-04-07 22:56:30,"Children of Bodom","Horns","I Worship Chaos"
"166",2020-04-07 22:56:30,"Children of Bodom","Morrigan","I Worship Chaos"
"167",2020-04-07 22:49:48,"Children of Bodom","Morrigan","I Worship Chaos"
"168",2020-04-07 22:45:27,"Children of Bodom","I Hurt","I Worship Chaos"
"169",2020-04-07 22:45:27,"Children of Bodom","My Bodom (I am The Only One)","I Worship Chaos"
"170",2020-04-07 22:40:57,"Children of Bodom","I Hurt","I Worship Chaos"
"171",2020-04-07 22:37:22,"Children of Bodom","Downfall","Hatebreeder"
"172",2020-04-07 22:37:22,"Children of Bodom","In Your Face","Are You Dead Yet?"
"173",2020-04-07 22:33:04,"Children of Bodom","In Your Face","Are You Dead Yet?"
"174",2020-04-07 22:28:54,"Children of Bodom","Needled 24/7","Hate Crew Deathroll"
"175",2020-04-07 22:28:54,"Children of Bodom","I´m Shipping Up To Boston","Holiday At Lake Bodom, 15 Years of Wasted Youth"
"176",2020-04-07 22:26:02,"Children of Bodom","Are You Dead Yet?","Are You Dead Yet?"
"177",2020-04-07 22:26:02,"Children of Bodom","I´m Shipping Up To Boston","Holiday At Lake Bodom, 15 Years of Wasted Youth"
"178",2020-04-07 22:22:06,"Children of Bodom","Are You Dead Yet?","Are You Dead Yet?"
"179",2020-04-07 22:17:46,"Kalmah","The Evil Kin","Palo"
"180",2020-04-07 22:14:15,"Sylosis","Empty Prophets","Cycle of Suffering"
"181",2020-04-07 22:09:05,"Sylosis","I Sever","Cycle of Suffering"
"182",2020-04-07 22:05:08,"Sylosis","Calcified","Cycle of Suffering"
"183",2020-04-07 22:02:20,"WORMWITCH","Two Wolves","Heaven That Dwells Within"
"184",2020-04-07 21:56:36,"WORMWITCH","Vernal Womb","Heaven That Dwells Within"
"185",2020-04-07 21:51:32,"WORMWITCH","Disciple of the Serpent Star","Heaven That Dwells Within"
"186",2020-04-07 21:51:32,"WORMWITCH","Alone Before the Doors of the Silent House","Heaven That Dwells Within"
"187",2020-04-07 21:47:03,"WORMWITCH","Alone Before the Doors of the Silent House","Heaven That Dwells Within"
"188",2020-04-07 21:41:12,"WORMWITCH","Lord Of Chains","Heaven That Dwells Within"
"189",2020-04-07 21:41:12,"WORMWITCH","Iron Woman","Heaven That Dwells Within"
"190",2020-04-07 21:38:02,"WORMWITCH","Midnight Sun","Heaven That Dwells Within"
"191",2020-04-07 21:38:02,"WORMWITCH","Lord Of Chains","Heaven That Dwells Within"
"192",2020-04-07 21:33:32,"WORMWITCH","Benighted Blade","Heaven That Dwells Within"
"193",2020-04-07 21:33:32,"WORMWITCH","Midnight Sun","Heaven That Dwells Within"
"194",2020-04-07 21:28:38,"WORMWITCH","Benighted Blade","Heaven That Dwells Within"
"195",2020-04-07 21:25:09,"WORMWITCH","Spirit Braid","Heaven That Dwells Within"
"196",2020-04-07 21:21:14,"WORMWITCH","Two Wolves","Heaven That Dwells Within"
"197",2020-04-07 21:16:28,"WORMWITCH","Dancing In The Ashes","Heaven That Dwells Within"
"198",2020-04-07 21:11:25,"WORMWITCH","Disciple of the Serpent Star","Heaven That Dwells Within"
"199",2020-04-07 21:05:40,"WORMWITCH","Vernal Womb","Heaven That Dwells Within"
"200",2020-04-07 21:03:08,"WORMWITCH","Spirit Braid","Heaven That Dwells Within"
"201",2020-04-07 20:59:56,"WORMWITCH","Two Wolves","Heaven That Dwells Within"
"202",2020-04-07 20:54:13,"WORMWITCH","Vernal Womb","Heaven That Dwells Within"
"203",2020-04-07 20:49:14,"WORMWITCH","Disciple of the Serpent Star","Heaven That Dwells Within"
"204",2020-04-07 20:45:43,"Sabaton","The Red Baron","The Great War"
"205",2020-04-07 20:40:30,"Sabaton","Bismarck","Bismarck"
"206",2020-04-07 20:33:05,"Dark Tranquillity","Force of Hand","Atoma"
"207",2020-04-07 20:28:48,"Dark Tranquillity","Neutrality","Atoma"
"208",2020-04-07 20:25:07,"Dark Tranquillity","Forward Momentum","Atoma"
"209",2020-04-07 20:20:47,"Dark Tranquillity","Atoma","Atoma"
"210",2020-04-07 20:17:17,"Dark Tranquillity","Encircled","Atoma"
"211",2020-04-07 20:10:06,"Lamb of God","Memento Mori","Memento Mori"
"212",2020-04-07 20:06:25,"Lamb of God","Redneck","Sacrament"
"213",2020-04-07 20:02:36,"Lamb of God","Laid to Rest","Ashes of the Wake (15th Anniversary)"
"214",2020-04-07 19:51:02,"1914","The Hundred Days Offensive","The Blind Leading The Blind"
"215",2020-04-07 19:46:47,"1914","Arrival. The Meuse-Argonne","The Blind Leading The Blind"
"216",2020-04-07 19:39:32,"Insomnium","Karelia","Heart Like a Grave (Bonus Tracks Version)"
"217",2020-04-07 19:25:21,"Insomnium","Mute Is My Sorrow","Heart Like a Grave (Bonus Tracks Version)"
"218",2020-04-07 19:25:20,"Insomnium","Twilight Trails","Heart Like a Grave (Bonus Tracks Version)"
"219",2020-04-07 19:19:19,"Insomnium","Mute Is My Sorrow","Heart Like a Grave (Bonus Tracks Version)"
"220",2020-04-07 19:16:04,"Insomnium","Wail of the North","Heart Like a Grave (Bonus Tracks Version)"
"221",2020-04-07 19:09:39,"Insomnium","And Bells They Toll","Heart Like a Grave (Bonus Tracks Version)"
"222",2020-04-07 19:04:54,"Insomnium","Ephemeral","Shadows Of The Dying Sun"
"223",2020-04-07 19:01:37,"Insomnium","The Primeval Dark","Shadows Of The Dying Sun"
"224",2020-04-07 18:52:38,"Insomnium","Pale Morning Star","Heart Like a Grave (Bonus Tracks Version)"
"225",2020-04-07 18:45:33,"Insomnium","Heart like a Grave","Heart Like a Grave (Bonus Tracks Version)"
"226",2020-04-07 18:40:26,"Insomnium","Valediction","Heart Like a Grave (Bonus Tracks Version)"
"227",2020-04-07 18:34:07,"Insomnium","While We Sleep","Shadows Of The Dying Sun"
"228",2020-04-07 18:31:05,"Amon Amarth","Tattered Banners and Bloody Flags","Twilight of the Thunder God"
"229",2020-04-07 18:27:18,"Amon Amarth","Shield Wall","Berserker"
"230",2020-04-07 18:21:56,"Amon Amarth","Raven's Flight","Berserker"
"231",2020-04-07 18:18:04,"Amon Amarth","Deceiver of the Gods","Deceiver of the Gods"
"232",2020-04-07 18:13:30,"Amon Amarth","Crack the Sky","Berserker"
"233",2020-04-07 18:13:29,"Amon Amarth","War of the Gods","Surtur Rising"
"234",2020-04-07 18:09:38,"Amon Amarth","Crack the Sky","Berserker"
"235",2020-04-07 18:05:13,"Amon Amarth","Raise Your Horns","Jomsviking"
"236",2020-04-07 18:00:41,"Amon Amarth","The Pursuit of Vikings","Fate of Norns"
"237",2020-04-07 18:00:41,"Amon Amarth","Guardians of Asgaard","Twilight of the Thunder God"
"238",2020-04-07 17:56:16,"Amon Amarth","Guardians of Asgaard","Twilight of the Thunder God"
"239",2020-04-07 17:52:05,"Amon Amarth","Twilight of the Thunder God","Twilight of the Thunder God"
"240",2020-04-07 17:45:17,"Vale Of Pnath","Accursed","Accursed"
"241",2020-04-07 17:39:15,"Vale Of Pnath","Cerulean Eclipse","The Prodigal Empire"
"242",2020-04-07 17:34:38,"Vale Of Pnath","Sightless","The Prodigal Empire"
"243",2020-04-07 17:30:40,"Vale Of Pnath","Time of Reckoning","The Prodigal Empire"
"244",2020-04-07 17:28:06,"Vale Of Pnath","Borne Extinction","The Prodigal Empire"
"245",2020-04-07 17:28:05,"Vale Of Pnath","Borne Extinction","The Prodigal Empire"
"246",2020-04-07 17:28:05,"Vale Of Pnath","Poisoned By Prosperity","The Prodigal Empire"
"247",2020-04-07 17:22:21,"Vale Of Pnath","Borne Extinction","The Prodigal Empire"
"248",2020-04-07 17:19:10,"Vale Of Pnath","Brain Butchers","The Prodigal Empire"
"249",2020-04-07 17:19:10,"Vale Of Pnath","The Prodigal Empire","The Prodigal Empire"
"250",2020-04-07 17:14:31,"Vale Of Pnath","Mental Crucifixion","The Prodigal Empire"
"251",2020-04-07 17:14:26,"Vale Of Pnath","Brain Butchers","The Prodigal Empire"
"252",2020-04-07 17:08:58,"Vale Of Pnath","Mental Crucifixion","The Prodigal Empire"
"253",2020-04-07 17:03:29,"Vale Of Pnath","Legacy Of Loss","The Prodigal Empire"
"254",2020-04-07 16:55:47,"Vale Of Pnath","Unburied","II"
"255",2020-04-07 16:43:12,"Vale Of Pnath","The Serpent's Lair","II"
"256",2020-04-07 16:39:31,"Vale Of Pnath","Heart Of Darkness","II"
"257",2020-04-07 16:33:54,"Vale Of Pnath","Reaver","II"
"258",2020-04-07 16:32:39,"Vale Of Pnath","Shadow and Agony","Accursed"
"259",2020-04-07 16:27:27,"Vredehammer","Any Place but Home","Viperous"
"260",2020-04-07 16:22:22,"Vredehammer","Winds of Dysphoria","Viperous"
"261",2020-04-07 06:21:00,"Soen","Ideate","Cognitive"
"262",2020-04-07 05:13:55,"Soen","Canvas","Cognitive"
"263",2020-04-07 05:07:04,"Soen","Oscillation","Cognitive"
"264",2020-04-07 05:02:30,"Soen","Last Light","Cognitive"
"265",2020-04-07 04:57:59,"Soen","Delenda","Cognitive"
"266",2020-04-07 04:53:01,"Soen","Fraccions","Cognitive"
"267",2020-04-07 04:51:48,"Soen","Fraktal","Cognitive"
"268",2020-04-07 04:43:05,"Soen","The Other's Fall","Tellurian"
"269",2020-04-07 04:34:33,"Soen","Void","Tellurian"
"270",2020-04-07 04:29:10,"Soen","Ennui","Tellurian"
"271",2020-04-07 04:24:09,"Soen","Koniskas","Tellurian"
"272",2020-04-07 04:16:40,"Soen","Pluton","Tellurian"
"273",2020-04-07 04:10:21,"Soen","The Words","Tellurian"
"274",2020-04-07 04:04:54,"Soen","Kuraman","Tellurian"
"275",2020-04-07 03:59:28,"Soen","Tabula Rasa","Tellurian"
"276",2020-04-07 03:58:49,"Soen","Komenco","Tellurian"
"277",2020-04-07 03:52:01,"Soen","Lucidity","Lykaia"
"278",2020-04-07 03:46:36,"Soen","Lotus","Lotus"
"279",2020-04-07 03:40:26,"Soen","Martyrs","Lotus"
"280",2020-04-07 03:33:44,"Pink Floyd","Take It Back","The Division Bell"
"281",2020-04-07 03:26:52,"Pink Floyd","Wearing the Inside Out","The Division Bell"
"282",2020-04-07 03:22:33,"Pink Floyd","A Great Day for Freedom","The Division Bell"
"283",2020-04-07 03:17:01,"Pink Floyd","Marooned","The Division Bell"
"284",2020-04-07 03:09:55,"Pink Floyd","Poles Apart","The Division Bell"
"285",2020-04-07 03:05:32,"Pink Floyd","What Do You Want from Me","The Division Bell"
"286",2020-04-07 02:59:35,"Pink Floyd","Cluster One","The Division Bell"
"287",2020-04-07 01:58:55,"Iron Maiden","Wasting Love - 2015 Remaster","Fear Of The Dark (2015 Remaster)"
"288",2020-04-07 01:53:44,"Iron Maiden","Wasted Years - 2015 Remaster","Somewhere In Time (2015 Remaster)"
"289",2020-04-07 01:47:39,"Iron Maiden","2 Minutes To Midnight - 2015 Remaster","Powerslave (2015 Remaster)"
"290",2020-04-07 01:42:30,"Iron Maiden","Wasting Love - 2015 Remaster","Fear Of The Dark (2015 Remaster)"
"291",2020-04-07 01:37:18,"Iron Maiden","Wasted Years - 2015 Remaster","Somewhere In Time (2015 Remaster)"
"292",2020-04-07 01:31:13,"Iron Maiden","2 Minutes To Midnight - 2015 Remaster","Powerslave (2015 Remaster)"
"293",2020-04-07 01:26:51,"Iron Maiden","The Trooper - 2015 Remaster","Piece of Mind (2015 Remaster)"
"294",2020-04-07 01:19:29,"Amorphis","Death Of A King","Under The Red Cloud"
"295",2020-04-07 01:15:14,"Amorphis","Silver Bride","Skyforger"
"296",2020-04-07 01:10:03,"Amorphis","Wrong Direction","Queen of Time"
"297",2020-04-07 01:05:11,"Amorphis","House of Sleep","Eclipse"
"298",2020-04-07 01:05:11,"Amorphis","Amongst Stars","Queen of Time"
"299",2020-04-07 01:00:54,"Amorphis","House of Sleep","Eclipse"
"300",2020-04-07 00:55:22,"Amorphis","The Bee","Queen of Time"
"301",2020-04-07 00:51:42,"Arch Enemy","My Apocalypse - Live at Wacken 2016","As the Stages Burn! (Live at Wacken 2016)"
"302",2020-04-07 00:48:41,"Arch Enemy","Ravenous - Live at Wacken 2016","As the Stages Burn! (Live at Wacken 2016)"
"303",2020-04-07 00:48:41,"Arch Enemy","Stolen Life - Live at Wacken 2016","As the Stages Burn! (Live at Wacken 2016)"
"304",2020-04-07 00:44:36,"Arch Enemy","War Eternal - Live at Wacken 2016","As the Stages Burn! (Live at Wacken 2016)"
"305",2020-04-07 00:44:36,"Arch Enemy","Ravenous - Live at Wacken 2016","As the Stages Burn! (Live at Wacken 2016)"
"306",2020-04-07 00:40:06,"Arch Enemy","Yesterday Is Dead and Gone - Live at Wacken 2016","As the Stages Burn! (Live at Wacken 2016)"
"307",2020-04-07 00:40:05,"Arch Enemy","War Eternal - Live at Wacken 2016","As the Stages Burn! (Live at Wacken 2016)"
"308",2020-04-07 00:35:26,"Arch Enemy","Khaos Overture - Live at Wacken 2016","As the Stages Burn! (Live at Wacken 2016)"
"309",2020-04-07 00:35:25,"Arch Enemy","Yesterday Is Dead and Gone - Live at Wacken 2016","As the Stages Burn! (Live at Wacken 2016)"
"310",2020-04-07 00:33:50,"Arch Enemy","Khaos Overture - Live at Wacken 2016","As the Stages Burn! (Live at Wacken 2016)"
"311",2020-04-07 00:31:24,"Arch Enemy","You Will Know My Name","War Eternal"
"312",2020-04-07 00:26:45,"Arch Enemy","You Will Know My Name","War Eternal"
"313",2020-04-07 00:26:45,"Arch Enemy","The World Is Yours","Will to Power"
"314",2020-04-07 00:21:50,"Arch Enemy","The World Is Yours","Will to Power"
"315",2020-04-07 00:16:49,"Arch Enemy","The Eagle Flies Alone - edit","Will to Power"
"316",2020-04-07 00:12:35,"Arch Enemy","Nemesis","Doomsday Machine"
"317",2020-04-07 00:12:35,"Arch Enemy","War Eternal","War Eternal"
